ITEM       NUMERO          BINARIO                                  HEXADECIMAL    
109        257890          111110111101100010                       3EF62          
110        4699761         10001111011011001110001                  47B671         
111        359541          1010111110001110101                      57C75          
112        3446150         1101001001010110000110                   349586         
113        4246818         10000001100110100100010                  40CD22         
114        1848840         111000011011000001000                    1C3608         
115        938480          11100101000111110000                     E51F0          
116        227465          110111100010001001                       37889          
117        3923488         1110111101111000100000                   3BDE20         
118        8915697         100010000000101011110001                 880AF1         
119        4309094         10000011100000001100110                  41C066         
120        3891251         1110110110000000110011                   3B6033         
121        8627956         100000111010011011110100                 83A6F4         
122        5884613         10110011100101011000101                  59CAC5         
123        1659318         110010101000110110110                    1951B6         
124        1834855         110111111111101100111                    1BFF67         
125        3386751         1100111010110101111111                   33AD7F         
126        3000166         1011011100011101100110                   2DC766         
127        9135626         100010110110011000001010                 8B660A         
128        4869260         10010100100110010001100                  4A4C8C         
129        76550           10010101100000110                        12B06          
130        432271          1101001100010001111                      6988F          
131        251028          111101010010010100                       3D494          
132        7016218         11010110000111100011010                  6B0F1A         
133        6896099         11010010011100111100011                  6939E3         
134        8386350         11111111111011100101110                  7FF72E         
135        8637147         100000111100101011011011                 83CADB         
136        936705          11100100101100000001                     E4B01          
137        6602175         11001001011110110111111                  64BDBF         
138        1429181         101011100111010111101                    15CEBD         
139        8395138         100000000001100110000010                 801982         
140        6132809         10111011001010001001001                  5D9449         
141        5936917         10110101001011100010101                  5A9715         
142        2878578         1010111110110001110010                   2BEC72         
143        158885          100110110010100101                       26CA5          
144        2441957         1001010100001011100101                   2542E5         
145        5914794         10110100100000010101010                  5A40AA         
146        3999272         1111010000011000101000                   3D0628         
147        3142897         1011111111010011110001                   2FF4F1         
148        8151159         11111000110000001110111                  7C6077         
149        5147564         10011101000101110101100                  4E8BAC         
150        4595374         10001100001111010101110                  461EAE         
151        4234951         10000001001111011000111                  409EC7         
152        7880605         11110000011111110011101                  783F9D         
153        7009921         11010101111011010000001                  6AF681         
154        695580          10101001110100011100                     A9D1C          
155        7370443         11100000111011011001011                  7076CB         
156        7921729         11110001110000001000001                  78E041         
157        8419625         100000000111100100101001                 807929         
158        7024080         11010110010110111010000                  6B2DD0         
159        3905988         1110111001100111000100                   3B99C4         
160        1767599         110101111100010101111                    1AF8AF         
161        935136          11100100010011100000                     E44E0          
162        635788          10011011001110001100                     9B38C          
163        8807719         100001100110010100100111                 866527         
164        317375          1001101011110111111                      4D7BF          
165        9975410         100110000011011001110010                 983672         
166        2727968         1010011010000000100000                   29A020         
167        7444399         11100011001011110101111                  7197AF         
168        4065675         1111100000100110001011                   3E098B         
169        9925720         100101110111010001011000                 977458         
170        2293633         1000101111111110000001                   22FF81         
171        7734826         11101100000011000101010                  76062A         
172        1065463         100000100000111110111                    1041F7         
173        1105617         100001101111011010001                    10DED1         
174        5325800         10100010100001111101000                  5143E8         
175        3822527         1110100101001110111111                   3A53BF         
176        5503858         10100111111101101110010                  53FB72         
177        9214055         100011001001100001100111                 8C9867         
178        6521769         11000111000001110101001                  6383A9         
179        7923796         11110001110100001010100                  78E854         
180        5250236         10100000001110010111100                  501CBC         
181        1083154         100001000011100010010                    108712         
182        472141          1110011010001001101                      7344D          
183        9597454         100100100111001000001110                 92720E         
184        1581679         110000010001001101111                    18226F         
185        656751          10100000010101101111                     A056F          
186        345464          1010100010101111000                      54578          
187        4281218         10000010101001110000010                  415382         
188        6558883         11001000001010010100011                  6414A3         
189        3852986         1110101100101010111010                   3ACABA         
190        6263187         10111111001000110010011                  5F9193         
191        5828308         10110001110111011010100                  58EED4         
192        8058535         11110101111011010100111                  7AF6A7         
193        9035191         100010011101110110110111                 89DDB7         
194        7922103         11110001110000110110111                  78E1B7         
195        9366003         100011101110100111110011                 8EE9F3         
196        4555717         10001011000001111000101                  4583C5         
197        3526753         1101011101000001100001                   35D061         
198        3176815         1100000111100101101111                   30796F         
199        858440          11010001100101001000                     D1948          
200        2250854         1000100101100001100110                   225866         
-------------------------------------------------------------------------------------
Tiempo de ejecucion: 0.000800 segundos
